year,count
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,1
1960,1
1961,0
1962,8
1963,22
1964,23
1965,11
1966,3
1967,4
1968,4
1969,3
1970,2
1971,3
1972,5
1973,5
1974,121
1975,265
1976,288
1977,276
1978,274
1979,374
1980,525
1981,648
1982,798
1983,900
1984,931
1985,914
1986,965
1987,1079
1988,1207
1989,1277
1990,1249
1991,1319
1992,1427
1993,1422
1994,1474
1995,1562
1996,1537
1997,1605
1998,1678
1999,1787
2000,1974
2001,2103
2002,2271
2003,2459
2004,2725
2005,2919
2006,3015
2007,3172
2008,3345
2009,3518
2010,3761
2011,3982
2012,4205
2013,4593
2014,4099
2015,1692
